year;age0;age1;age2;age3;age4;age5;age6;age7+
1985;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1986;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1987;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1988;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1989;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1990;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1991;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1992;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1993;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1994;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1995;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1996;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1997;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1998;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
1999;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2000;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2001;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2002;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2003;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2004;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2005;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2006;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2007;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2008;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2009;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2010;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2011;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2012;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2013;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2014;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2015;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2016;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2017;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2018;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2019;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2020;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2021;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2022;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2023;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201
2024;1.318;0.598;0.411;0.324;0.274;0.241;0.218;0.201